otus	M31Fcsw	M11Fcsw	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm	TS28	TS29
951	0	0	0	0	0	0	0	0	0
155495	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0
341551	0	0	0	0	0	0	0	0	0
108964	0	0	1	0	1	0	1	10	3
330416	0	0	0	0	0	0	0	0	0
546313	0	1	0	0	1	0	0	0	1
548602	0	0	0	0	0	0	0	0	0
564501	0	0	0	0	0	0	1	0	0
47778	0	0	0	0	0	0	0	0	0
54107	0	0	0	0	0	0	0	1	1
25116	0	0	0	0	0	0	0	0	0
71074	1	0	1	1	0	1	0	0	1
252853	0	0	0	0	0	0	0	0	0
100679	0	0	1	0	0	0	1	2	0
540349	0	0	0	0	0	0	0	0	0
101071	0	0	1	0	0	0	0	0	0
1143	0	0	0	0	0	0	0	0	0
141739	0	0	0	0	0	0	0	0	0
548723	0	0	0	0	0	0	0	0	0
542636	0	0	0	0	0	0	0	0	0
526502	0	0	0	0	0	0	0	0	0
152431	0	0	0	0	4	25	25	0	0
55681	0	0	0	0	0	9	7	0	0
206978	0	0	0	0	4	26	38	0	0
467541	0	0	0	0	0	0	0	0	0
557121	0	0	0	0	0	1	0	0	0
524986	0	0	0	0	0	1	0	0	0
212360	0	0	0	0	1	0	0	0	0
79	0	0	0	0	23	70	86	0	0
101553	0	0	0	2	26	71	59	0	1
150294	0	0	0	0	0	0	0	0	0
547463	0	0	0	0	0	0	0	0	0
227785	27	54	1	0	7	0	0	1566	1668
368907	0	0	1	0	0	0	0	0	0
12724	0	0	0	0	0	0	0	0	0
93749	0	0	0	0	0	0	0	0	0
165106	0	0	0	0	0	0	0	0	0
137567	0	0	0	0	4	0	0	0	0
99516	0	0	0	0	0	0	0	0	0
12789	0	0	0	0	0	0	0	0	0
140932	0	0	0	0	0	0	0	0	0
255749	0	0	0	0	0	0	0	0	0
305897	0	0	0	0	0	0	0	0	0
150663	0	0	0	0	0	0	0	0	0
12029	0	0	0	0	0	0	0	0	0
554990	0	0	0	0	0	0	0	0	0
12039	0	0	0	0	0	0	0	0	0
12045	0	0	0	0	0	0	0	0	0
576085	0	0	0	0	0	0	0	0	0
104948	0	0	0	0	0	0	0	0	0
12046	0	0	0	0	0	0	0	0	0
100757	0	0	0	0	0	0	0	0	0
246769	0	0	0	0	0	0	0	0	0
105568	0	0	0	0	0	0	0	0	0
25615	0	0	0	0	0	0	0	0	0
11984	0	0	0	0	0	0	0	0	0
89696	0	0	0	0	0	0	0	0	0
471203	0	0	0	0	0	0	0	0	0
589503	0	0	0	0	0	0	0	0	0
19369	0	0	0	0	0	0	0	0	0
23223	0	0	0	0	0	0	0	0	0
319018	0	0	0	0	0	0	0	0	0
12151	0	0	0	0	0	0	0	0	0
12098	0	0	0	0	0	0	1	0	0
12065	0	0	0	0	0	0	0	0	0
12131	0	0	0	0	0	0	0	0	0
214752	0	0	0	0	0	0	0	0	0
154705	0	0	0	0	0	0	0	0	0
533172	0	0	32	1	0	0	0	0	0
54677	0	0	0	0	0	0	0	0	0
13016	0	0	0	0	0	0	0	0	0
13013	0	0	1	0	0	0	0	0	0
31830	0	0	0	0	0	0	0	0	0
85863	0	0	0	0	0	0	0	0	0
175954	1	0	1	2	3	2	4	0	0
12913	0	0	0	0	0	0	0	0	0
133017	0	0	0	0	0	0	0	0	0
12970	0	0	0	0	0	0	0	0	0
248764	0	0	0	0	0	0	0	0	0
246206	0	0	0	0	0	0	0	0	0
33829	0	0	0	0	0	0	1	0	0
12979	0	0	0	0	1	0	0	0	0
12995	0	0	0	0	0	0	0	0	0
12993	0	0	0	0	0	0	0	0	0
238963	0	0	0	0	1	1	0	0	0
240258	0	0	0	0	0	0	0	2	0
515421	0	0	0	0	0	0	0	0	0
12808	0	0	0	0	0	0	0	0	0
369289	0	0	0	0	0	1	1	0	0
43093	0	0	1	0	0	1	0	0	0
38986	0	0	0	0	0	0	0	0	0
265094	0	0	0	0	1	0	2	1	2
273055	1	0	1	1	3	2	1	4	2
536662	0	1	0	0	2	1	0	0	0
250002	0	0	0	0	2	0	0	1	0
34467	0	0	0	0	0	0	0	0	0
33446	0	0	0	0	0	0	0	0	0
33286	0	0	0	0	2	2	1	0	0
18850	0	0	0	0	0	0	0	0	0
278310	0	0	0	0	0	0	0	0	0
332727	0	0	0	0	0	0	0	0	0
151293	0	0	0	0	0	0	1	0	0
352835	0	0	0	0	0	0	1	0	0
258956	0	0	0	0	2	2	6	0	0
308245	0	0	0	0	0	0	0	0	0
253324	0	0	0	3	5	14	41	0	0
242867	0	0	0	0	6	3	3	0	0
250390	0	0	0	0	1	0	0	0	0
199229	0	0	0	0	0	0	0	0	0
236179	0	0	1	0	2	1	1	2	0
11428	1	0	1	0	1	0	0	0	0
575032	0	0	0	0	0	0	0	0	0
242751	0	0	5	7	0	0	0	1	0
80600	0	0	0	0	0	0	0	0	0
12296	0	0	2	1	0	0	0	0	0
148208	0	0	0	0	0	0	0	0	0
212534	0	0	37	1	1	1	0	0	0
73379	0	0	9	0	1	1	0	1	0
12163	0	0	7	0	0	0	0	0	0
311254	0	0	223	3	0	1	0	0	0
240200	0	3	9210	1164	16	5	20	1	1
240435	0	3	1301	68	8	10	8	0	0
21685	0	0	75	0	0	0	1	0	0
323846	0	0	1	0	0	0	0	0	0
172749	0	0	0	0	0	0	0	0	0
349277	0	0	2	1	2	4	1	0	0
348790	0	0	3	0	0	0	0	0	0
130665	0	0	27	0	0	0	2	0	0
266945	0	0	5	0	3	0	2	1	0
12168	0	0	2	0	0	0	0	0	0
79881	0	0	33	0	1	1	6	0	0
19936	0	0	141	17	3	1	0	0	0
50557	0	0	4	1	2	9	7	0	0
35440	0	0	120	17	3	3	2	0	0
173906	0	0	0	0	0	2	0	0	0
12175	0	0	23	0	1	0	0	0	0
95950	0	0	0	0	0	0	0	0	0
277142	0	0	0	0	0	0	0	0	0
29284	0	0	0	5	2	2	3	0	0
145846	0	1	0	1	1	2	2	0	0
12533	0	0	0	0	1	0	0	0	0
12541	0	0	3	1	0	0	0	0	0
104526	0	0	0	1	0	0	0	0	0
88451	0	0	0	0	0	0	0	0	0
557925	0	0	0	0	0	0	0	0	0
101394	0	0	1	1	1	1	1	0	0
12343	0	0	1	0	0	9	13	0	0
177558	0	0	0	0	0	0	0	0	0
12346	0	0	1	0	4	24	38	0	0
195654	0	0	0	0	0	0	0	0	0
72525	0	0	0	0	0	0	0	0	0
152486	0	0	0	0	0	0	0	0	0
285868	0	0	0	0	0	0	0	0	0
77730	0	0	0	0	1	1	1	0	0
12592	0	0	0	0	0	0	0	0	0
71888	0	0	0	0	0	0	0	0	0
33696	0	0	0	0	0	0	0	0	0
245707	0	0	0	0	0	0	0	0	0
470273	0	0	0	0	0	0	0	0	0
12561	0	0	0	0	0	2	0	0	0
12562	0	0	0	0	0	0	0	0	0
470693	29	0	0	0	0	0	0	1	0
131783	0	0	1	0	0	0	0	0	0
12569	0	0	0	0	0	0	0	0	0
36025	0	0	0	0	0	0	0	0	0
12447	0	0	0	0	0	0	0	0	0
555009	0	0	0	0	0	0	0	0	0
530833	0	0	1	0	0	0	0	0	0
272161	0	0	1	0	0	0	0	0	0
567669	1	1	2	3	1	3	1	0	0
274801	0	0	22	17	0	0	1	0	0
58301	3	4	196	6	17	7	18	3	2
471141	15	12	491	21	58	23	52	17	16
140877	0	0	0	0	0	0	0	0	0
338075	0	0	0	0	0	0	0	0	0
100937	2	2	12	3	8	3	1	2	2
130481	0	0	0	0	0	0	1	0	0
137387	0	0	0	0	0	0	0	0	0
369524	0	0	0	0	0	0	0	0	0
543841	0	0	0	0	0	0	0	0	0
565712	0	0	0	0	0	0	0	0	0
272208	12	1	1	1	0	0	1	1	0
183182	0	0	0	0	0	0	1	0	0
13401	0	0	0	0	0	0	0	0	0
202911	0	0	0	0	0	0	0	0	0
13463	0	0	0	0	0	0	0	0	0
13467	0	0	0	0	0	0	0	0	0
470178	0	1	0	0	0	0	0	0	0
376876	0	0	0	0	0	0	0	0	0
357438	0	0	0	0	0	0	0	0	0
305123	0	0	0	0	0	0	0	0	1
470207	0	0	0	0	1	0	0	0	0
470219	10	2	14	2	4	7	1	7	3
13428	0	0	0	0	0	0	0	0	0
58295	1	0	5	1	3	0	0	2	1
470200	4	0	0	0	1	0	0	0	0
470188	0	8	4	2	0	1	0	3	0
69384	0	0	0	0	0	0	0	0	0
470213	3	2	14	7	3	9	4	1	1
471198	0	0	0	0	0	0	0	0	0
137454	0	0	0	0	0	0	0	0	0
24259	0	0	0	0	0	0	0	0	0
69669	0	0	0	6	0	0	0	0	0
13581	0	0	0	56	0	1	1	0	0
13568	0	0	0	0	0	0	0	0	0
108829	0	0	0	0	0	0	0	0	0
349708	0	0	0	0	0	1	1	0	0
84268	0	0	0	0	0	0	0	0	0
185640	0	0	0	0	0	0	0	0	0
276278	0	0	0	0	0	0	0	0	0
188084	0	0	0	0	0	0	0	0	0
84442	0	0	0	0	0	0	0	0	0
526776	0	0	0	0	1	2	2	0	0
142287	0	0	0	0	1	0	1	0	0
104445	0	0	0	0	0	0	0	0	0
558953	0	0	5	0	1	1	1	1	0
137558	0	0	0	0	0	0	0	0	0
13522	0	0	0	0	0	0	0	0	0
100442	0	0	0	0	0	0	0	0	0
20974	0	0	0	0	0	0	0	0	0
13140	0	0	0	0	0	1	1	0	0
320457	0	0	0	3	1	1	0	0	0
556866	0	0	2	0	1	1	0	0	0
13121	0	0	0	0	1	3	0	0	0
92964	0	0	0	0	5	5	7	0	0
102201	0	0	0	0	2	0	0	0	0
143735	0	0	0	0	0	0	0	0	0
12620	0	0	0	0	0	0	0	0	2
86784	0	0	2	0	0	1	0	0	0
72858	0	0	58	0	0	1	1	0	0
143171	0	0	6	0	0	0	0	0	0
469868	8	3	3	0	40	4	0	299	1131
326977	714	330	23	14	1022	12	18	22191	116225
469873	20	22	3	0	104	4	3	4053	10129
12622	0	0	0	0	1	1	0	0	2
470460	0	0	0	0	0	0	0	0	0
131391	0	0	0	0	1	0	0	33	94
471185	66	1	0	0	0	0	0	2	12
12650	0	0	0	0	0	0	0	5	3
559527	0	0	0	0	0	0	0	0	5
591285	3	1	0	0	1	0	0	39	124
469852	0	31	0	0	3	1	0	7	2
108434	1	0	1	1	1	1	0	0	0
3838	0	0	1	1	1	1	0	0	0
24210	0	0	0	0	0	0	0	0	0
3859	0	0	0	0	0	0	0	0	0
38741	0	0	6	2	2	1	0	0	0
78032	0	0	0	0	0	0	0	0	0
77775	0	0	0	0	0	0	0	0	0
146387	0	0	0	0	0	0	0	0	0
4099	0	0	0	0	0	0	0	0	0
141219	0	0	0	3	4	2	12	0	0
90465	0	0	0	1	3	0	0	0	0
101217	0	0	0	0	0	1	0	0	0
89329	0	0	0	0	0	0	1	0	0
4386	0	0	0	0	0	1	6	0	0
111897	1	0	0	0	0	0	0	0	0
192132	1394	14	2	2	3	0	0	5	314
10517	2	0	0	0	0	0	0	0	0
10526	0	119	0	0	0	0	0	0	0
33199	0	0	0	0	0	0	0	0	0
235762	0	0	0	0	0	1	0	0	0
567650	0	0	0	0	2	0	0	0	0
219355	0	0	0	0	0	0	1	0	0
102412	0	0	0	0	6	15	13	0	0
338150	0	0	0	0	0	0	7	0	0
384155	0	0	0	0	0	0	3	0	0
92508	0	0	0	0	0	0	0	0	0
87605	0	0	0	0	0	0	0	0	0
34507	0	0	0	0	0	0	0	0	0
536531	0	0	0	0	3	5	0	0	0
341019	0	0	0	0	1	3	2	0	0
10455	0	0	0	0	0	2	1	0	0
19551	0	0	0	0	4	23	2	1	0
102653	0	0	0	0	0	0	0	0	0
245878	0	0	1	1	73	198	95	0	0
23777	0	0	0	0	0	0	0	0	0
11293	0	0	0	0	0	0	0	0	0
529857	1	0	0	0	0	0	0	0	0
34513	0	0	0	0	0	0	0	0	0
470429	0	0	0	0	0	0	0	1	0
99826	0	0	0	2	5	0	0	0	0
103527	0	0	0	0	0	0	0	0	0
536325	0	0	0	0	0	0	0	0	0
76821	0	0	0	0	0	0	0	0	0
584755	0	0	0	0	0	0	0	0	0
74862	2	0	0	0	0	0	0	46	0
15711	0	1	0	0	0	0	0	0	0
470139	13	0	3	3	57	7	5	14	10
15716	325	0	0	0	0	0	0	226	44
109807	36	1	0	0	0	0	0	30	0
381629	0	0	0	0	0	0	0	0	0
470369	2	3	3	3	65	3	2	27	9
194446	0	0	0	0	0	0	0	0	0
295024	0	0	0	0	0	0	0	0	0
362383	37	2	0	0	7	0	0	106	1466
572915	35	0	0	0	16	1	0	718	1622
270972	0	0	0	0	0	0	0	0	0
532556	0	0	1	0	0	0	0	1	0
19191	4	1	0	1	0	0	0	4	0
470522	367	12	0	0	18	1	0	180	231
99344	0	0	0	0	1	0	0	0	0
185981	0	0	0	0	7	8	7	0	0
279660	0	0	0	0	8	1	0	0	0
143213	0	0	0	0	3	0	6	0	0
3232	0	0	0	0	0	0	0	0	0
268560	0	0	0	0	0	0	0	0	0
471225	0	0	6740	1	0	1	3	0	0
161302	0	0	0	0	0	0	0	0	0
136145	0	0	0	0	7	5	0	0	0
3262	0	0	0	0	2	0	1	0	0
549188	0	0	0	0	1	1	1	0	0
587919	0	0	0	1	0	0	0	0	0
138867	0	0	28	0	0	0	1	0	0
45521	0	0	8	0	0	0	0	0	0
247816	0	0	2	0	0	3	0	0	0
107995	0	0	37	15	6	32	29	0	0
3098	0	0	4	1	0	0	1	0	0
245604	0	0	37	0	0	1	0	0	0
178178	0	0	1	1	1	5	13	0	0
190926	0	4	9916	42	168	403	144	1	2
140593	0	0	5449	44	4	3	3	0	0
568548	0	0	0	0	2	1	2	0	0
142290	0	0	0	0	0	0	0	0	0
175886	1	0	0	0	0	0	0	0	0
11239	0	0	0	0	0	0	0	0	0
11247	2	0	0	0	0	1	0	0	0
241170	2	0	13	1	1	2	2	0	3
484430	0	1	1	1	3	5	0	0	1
246715	1401	0	0	0	0	0	0	1	0
386273	26	8	0	0	0	0	0	8	0
56203	0	0	0	0	0	0	0	0	0
162077	4	7	122	8	28	9	11	8	4
11164	0	0	0	1	0	0	0	0	0
237188	0	0	0	0	0	0	0	0	0
277566	0	0	0	0	0	0	0	0	0
163978	0	0	0	0	1	0	1	5	1
214563	0	0	0	0	0	0	0	0	0
6678	1	2	8	2	3	5	3	0	3
63992	0	0	0	0	0	0	0	0	0
55005	0	0	0	0	0	0	0	0	0
75333	0	0	0	0	0	0	0	0	0
111824	0	0	2	3	10	17	16	0	1
591509	0	0	1	0	1	5	1	0	0
144381	0	2	0	9	8	5	14	0	0
238272	0	0	0	154	0	0	0	0	0
367189	0	1	5	211	2	2	3	0	0
172207	0	0	0	1	0	6	2	0	0
264640	0	0	0	0	0	0	0	0	0
6825	0	0	1	0	0	0	0	0	0
149152	0	0	1	0	0	0	0	0	0
338543	0	0	0	0	0	0	0	0	0
550256	0	0	0	2	0	0	0	0	0
519627	0	0	0	2	156	302	313	0	1
470243	0	0	2	2	2	2	0	0	0
63985	0	0	0	0	0	0	0	0	0
470724	0	0	0	0	0	0	1	0	0
56599	0	0	1	1	0	0	0	0	0
21796	0	0	0	0	0	1	0	0	0
72999	0	0	0	0	0	0	0	0	0
107195	0	0	0	0	0	1	0	0	0
22981	0	0	2	0	1	1	0	0	0
520724	0	0	0	6	2	5	4	0	0
156646	0	0	1	1	1	2	0	0	0
29792	0	0	0	0	0	3	3	0	0
141903	0	0	18	1	5	9	20	0	0
156758	0	0	46	2	0	1	1	0	0
263842	0	0	1	1	6	4	5	0	0
6697	0	0	2	0	1	1	4	0	0
203562	0	0	0	6	3	2	0	0	0
242252	2	1	2	5	16	21	15	1	0
143868	0	0	0	0	0	2	2	0	0
6725	0	0	2	7	4	6	9	0	0
41872	0	0	0	0	1	0	0	0	0
230074	1	0	5	8	25	212	131	0	0
42580	0	0	2	2	93	346	203	0	0
6721	0	0	0	1	0	6	8	0	0
134476	0	0	8	0	2	4	2	0	0
114676	0	0	0	0	0	2	1	0	0
6717	0	0	0	1	0	2	4	0	1
6713	0	1	0	0	18	32	52	0	1
26639	0	0	0	0	0	2	0	0	0
138944	0	0	0	0	9	11	21	0	0
235428	0	0	16	111	4	1	3	0	0
7344	0	0	0	0	0	0	0	0	0
230108	0	0	0	1	1	0	0	0	0
259460	0	0	0	1	1	1	0	0	0
60344	0	0	1	1	3	2	1	0	0
110675	0	0	1	66	2	2	2	0	0
236550	0	0	2	20	1	2	3	0	0
235543	0	0	0	0	0	0	0	0	0
510182	0	0	0	2	1	0	0	0	0
162184	0	0	9	6	0	4	3	0	0
365805	0	0	1	0	0	0	0	0	0
7316	0	0	0	19	0	0	1	0	0
88301	0	0	0	7	0	1	0	0	0
571521	0	1	0	23	0	1	1	0	1
102382	0	0	5	273	5	11	7	1	0
590309	0	0	0	0	0	0	0	0	0
551576	0	0	0	0	0	1	0	0	0
99681	0	0	0	0	0	0	0	0	0
155597	0	0	0	16	0	4	1	0	0
327622	0	0	2	1	0	0	0	0	0
244518	0	0	0	0	0	0	0	0	0
322045	0	0	0	2	0	1	1	0	0
217942	0	0	0	0	0	0	0	0	0
313175	0	0	16	68	2	3	4	0	0
559256	0	0	0	0	0	0	0	0	0
323686	0	0	3169	34	2	3	8	0	0
570301	0	0	2	15	0	1	0	0	0
7396	0	0	11	1	5	14	14	0	0
293752	0	0	2	0	2	2	0	0	0
6974	0	0	0	1	0	1	0	0	0
593931	0	0	0	4	0	0	1	0	0
592118	21	9	146	75	59	230	322	2	6
358779	0	0	0	0	0	1	0	0	0
391129	0	0	1	1	0	0	0	0	0
6936	0	0	39	28	33	38	24	0	0
255954	0	0	0	1	0	0	0	0	0
105081	0	0	17	0	3	6	6	0	0
271234	0	0	10	7	0	2	3	0	0
270928	0	0	0	0	0	1	1	0	0
166388	0	0	0	0	0	3	2	0	0
72406	0	1	104	82	58	139	124	0	0
368509	0	0	234	1551	54	86	63	1	0
153263	0	0	19	8	2	2	1	0	0
156790	0	0	50	50	1	1	1	0	1
584580	0	0	3659	49	43	39	33	0	1
90602	0	0	56	3	4	23	14	0	0
37911	0	0	3	1	11	68	34	0	0
110215	0	0	21	1	13	263	105	0	0
592171	0	0	1	0	5	29	15	0	0
7173	0	0	373	115	66	93	115	0	1
258495	0	0	0	0	0	0	0	0	0
140825	0	0	0	0	0	1	3	0	0
114783	0	0	8	18	0	6	5	0	0
200741	3	6	98	961	8803	12180	9967	5	18
100284	0	0	0	0	4	5	9	0	0
469903	0	0	0	0	0	0	0	0	0
65940	1	0	3	0	0	0	0	0	0
350331	0	0	0	0	1	0	0	0	0
573802	0	0	0	0	0	0	0	0	0
8823	0	0	0	1	0	0	0	1	0
569335	0	0	0	0	0	1	0	0	0
198608	0	0	0	0	1	0	0	0	0
311934	0	0	0	0	0	0	0	0	0
8872	0	0	0	0	0	0	0	0	0
81059	0	0	0	0	0	0	0	0	0
160306	0	0	0	0	0	0	0	0	0
274227	0	0	0	0	0	0	0	0	0
140774	0	0	0	0	0	0	1	0	0
153557	0	0	0	0	0	0	0	0	0
140388	0	0	0	0	0	0	0	0	0
193662	0	0	0	0	1	0	0	0	0
160023	0	1	6	3	70	653	634	0	1
259571	0	0	0	0	0	0	0	0	0
246806	0	0	0	0	1	4	6	0	0
392867	0	0	0	0	3	0	0	0	0
8849	0	0	0	0	0	0	0	0	0
46271	0	0	0	0	1	0	1	0	0
255639	0	0	0	0	0	0	0	0	0
230360	0	0	0	0	0	0	0	0	0
82812	0	0	0	0	0	0	0	0	0
236190	0	0	0	0	0	0	0	0	0
141151	0	0	0	0	0	0	0	0	0
93965	0	0	0	0	1	0	0	0	0
277789	0	0	0	0	0	0	0	0	0
91588	0	0	0	0	0	0	0	0	0
536526	0	0	0	0	0	0	0	0	0
84937	0	0	0	0	2	0	1	0	0
9286	0	0	0	0	0	0	1	0	0
