otus	M31Plmr	M11Plmr	F21Plmr	M31Tong	M11Tong	LMEpi24M	SLEpi20M	AQC1cm	AQC4cm	AQC7cm
951	0	1	0	0	0	0	0	0	0	0
155495	0	0	0	0	0	0	0	0	0	0
1029	0	0	0	0	0	0	0	0	0	0
341551	0	0	0	0	0	0	0	0	0	0
108964	0	2	6	1	0	1	0	1	0	1
330416	0	0	0	0	0	0	0	0	0	0
546313	1	0	1	1	0	0	0	1	0	0
548602	0	0	0	0	0	0	0	0	0	0
564501	0	0	0	0	0	0	0	0	0	1
47778	0	5	0	0	0	0	0	0	0	0
54107	0	3	35	0	0	0	0	0	0	0
25116	0	0	1	0	0	0	0	0	0	0
71074	23	48	58	2	0	1	1	0	1	0
252853	0	0	0	0	0	0	0	0	0	0
100679	5	11	19	0	0	1	0	0	0	1
540349	0	1	0	0	0	0	0	0	0	0
101071	11	0	8	0	0	1	0	0	0	0
1143	0	0	0	0	0	0	0	0	0	0
141739	0	0	0	0	0	0	0	0	0	0
548723	0	0	0	0	0	0	0	0	0	0
542636	0	0	0	0	0	0	0	0	0	0
526502	0	0	0	0	0	0	0	0	0	0
152431	0	0	0	0	0	0	0	4	25	25
55681	0	0	0	0	0	0	0	0	9	7
206978	0	0	0	0	0	0	0	4	26	38
467541	0	0	0	0	0	0	0	0	0	0
557121	0	0	0	0	0	0	0	0	1	0
524986	0	0	0	0	0	0	0	0	1	0
212360	0	0	0	0	0	0	0	1	0	0
79	0	0	0	0	0	0	0	23	70	86
101553	0	0	0	0	0	0	2	26	71	59
150294	0	0	0	0	0	0	0	0	0	0
547463	0	0	0	0	0	0	0	0	0	0
227785	0	0	0	4	0	1	0	7	0	0
368907	254	292	20	1	2	1	0	0	0	0
12724	2	1	0	0	0	0	0	0	0	0
93749	1	0	0	0	0	0	0	0	0	0
165106	0	0	0	0	0	0	0	0	0	0
137567	8	2	0	0	0	0	0	4	0	0
99516	1	5	0	0	0	0	0	0	0	0
12789	1	0	0	0	0	0	0	0	0	0
140932	1	0	0	0	0	0	0	0	0	0
255749	6	32	4	0	1	0	0	0	0	0
305897	2	1	1	0	0	0	0	0	0	0
150663	0	0	0	0	0	0	0	0	0	0
12029	0	0	0	0	0	0	0	0	0	0
554990	0	1	0	0	0	0	0	0	0	0
12039	0	1	0	8	0	0	0	0	0	0
12045	0	0	0	0	0	0	0	0	0	0
576085	2	6	1	0	0	0	0	0	0	0
104948	0	0	0	0	0	0	0	0	0	0
12046	0	0	2	0	0	0	0	0	0	0
100757	0	0	2	1	1	0	0	0	0	0
246769	0	0	0	0	0	0	0	0	0	0
105568	0	0	0	0	0	0	0	0	0	0
25615	6	0	0	0	0	0	0	0	0	0
11984	0	0	0	0	0	0	0	0	0	0
89696	0	22	2	0	0	0	0	0	0	0
471203	0	0	0	0	0	0	0	0	0	0
589503	1	0	1	0	0	0	0	0	0	0
19369	0	0	0	0	0	0	0	0	0	0
23223	0	0	0	0	0	0	0	0	0	0
319018	0	0	0	0	0	0	0	0	0	0
12151	0	0	0	0	0	0	0	0	0	0
12098	0	0	0	0	0	0	0	0	0	1
12065	0	0	0	0	0	0	0	0	0	0
12131	1	0	0	2	0	0	0	0	0	0
214752	0	0	0	0	0	0	0	0	0	0
154705	8	0	5	0	0	0	0	0	0	0
533172	0	1	0	0	1	32	1	0	0	0
54677	0	0	0	0	0	0	0	0	0	0
13016	0	0	0	0	0	0	0	0	0	0
13013	0	0	5	0	0	1	0	0	0	0
31830	1	17	1	0	0	0	0	0	0	0
85863	0	12	0	0	0	0	0	0	0	0
175954	19	80	46	0	0	1	2	3	2	4
12913	0	2	0	0	0	0	0	0	0	0
133017	0	0	0	0	0	0	0	0	0	0
12970	0	5	0	0	0	0	0	0	0	0
248764	0	0	0	0	0	0	0	0	0	0
246206	0	2	0	0	0	0	0	0	0	0
33829	0	1	0	0	0	0	0	0	0	1
12979	3	4	0	0	0	0	0	1	0	0
12995	0	0	0	0	0	0	0	0	0	0
12993	0	0	0	0	0	0	0	0	0	0
238963	0	0	0	1	1	0	0	1	1	0
240258	0	0	0	0	0	0	0	0	0	0
515421	0	0	0	1	0	0	0	0	0	0
12808	0	0	0	0	0	0	0	0	0	0
369289	0	0	0	0	0	0	0	0	1	1
43093	0	0	1	1	0	1	0	0	1	0
38986	0	0	0	0	0	0	0	0	0	0
265094	14	15	1	1	1	0	0	1	0	2
273055	9	42	73	4	0	1	1	3	2	1
536662	0	0	0	1	0	0	0	2	1	0
250002	2	1	0	0	0	0	0	2	0	0
34467	2	0	0	0	0	0	0	0	0	0
33446	0	0	0	0	0	0	0	0	0	0
33286	0	0	0	0	0	0	0	2	2	1
18850	0	0	0	0	0	0	0	0	0	0
278310	0	0	0	0	0	0	0	0	0	0
332727	0	0	0	0	0	0	0	0	0	0
151293	3	0	0	0	0	0	0	0	0	1
352835	0	0	0	0	0	0	0	0	0	1
258956	0	0	0	0	0	0	0	2	2	6
308245	3	1	0	0	0	0	0	0	0	0
253324	0	0	0	0	0	0	3	5	14	41
242867	0	0	0	0	0	0	0	6	3	3
250390	0	0	0	0	0	0	0	1	0	0
199229	0	0	0	0	0	0	0	0	0	0
236179	1	5	0	0	0	1	0	2	1	1
11428	1	12	6	0	0	1	0	1	0	0
575032	0	0	0	0	0	0	0	0	0	0
242751	21	88	22	0	1	5	7	0	0	0
80600	0	0	1	0	0	0	0	0	0	0
12296	4	51	0	25	0	2	1	0	0	0
148208	0	2	0	0	0	0	0	0	0	0
212534	0	0	0	2	0	37	1	1	1	0
73379	1	4	1	0	1	9	0	1	1	0
12163	0	0	0	0	0	7	0	0	0	0
311254	1	2	0	0	4	223	3	0	1	0
240200	0	0	0	8	101	9210	1164	16	5	20
240435	0	5	2	11	26	1301	68	8	10	8
21685	0	0	0	1	4	75	0	0	0	1
323846	1	0	0	0	0	1	0	0	0	0
172749	0	0	0	0	0	0	0	0	0	0
349277	26	5	2	0	0	2	1	2	4	1
348790	1	1	0	0	0	3	0	0	0	0
130665	1	1	0	1	0	27	0	0	0	2
266945	1	0	2	0	0	5	0	3	0	2
12168	0	0	0	0	0	2	0	0	0	0
79881	5	13	4	0	0	33	0	1	1	6
19936	56	17	7	0	0	141	17	3	1	0
50557	1	1	2	0	0	4	1	2	9	7
35440	63	106	29	0	1	120	17	3	3	2
173906	0	2	0	0	0	0	0	0	2	0
12175	1	0	0	0	0	23	0	1	0	0
95950	1	0	3	0	0	0	0	0	0	0
277142	0	0	2	0	0	0	0	0	0	0
29284	4	93	2	1	0	0	5	2	2	3
145846	75	140	63	2	0	0	1	1	2	2
12533	16	285	10	0	0	0	0	1	0	0
12541	21	28	1	2	0	3	1	0	0	0
104526	7	7	1	1	0	0	1	0	0	0
88451	0	0	0	0	0	0	0	0	0	0
557925	0	0	0	0	0	0	0	0	0	0
101394	7	5	13	0	0	1	1	1	1	1
12343	5	32	7	0	0	1	0	0	9	13
177558	0	2	1	0	0	0	0	0	0	0
12346	34	4	23	0	0	1	0	4	24	38
195654	0	2	1	0	0	0	0	0	0	0
72525	1	0	0	0	0	0	0	0	0	0
152486	1	0	0	0	0	0	0	0	0	0
285868	0	0	0	0	0	0	0	0	0	0
77730	0	0	0	0	0	0	0	1	1	1
12592	36	0	0	0	0	0	0	0	0	0
71888	1	0	1	0	0	0	0	0	0	0
33696	1	1	0	14	0	0	0	0	0	0
245707	0	1	0	3	0	0	0	0	0	0
470273	95	0	165	0	1	0	0	0	0	0
12561	110	4	60	7	1	0	0	0	2	0
12562	22	0	0	0	0	0	0	0	0	0
470693	105	17	0	0	0	0	0	0	0	0
131783	45	118	2	0	1	1	0	0	0	0
12569	3	0	0	5	1	0	0	0	0	0
36025	149	9	2	0	0	0	0	0	0	0
12447	56	1	0	0	0	0	0	0	0	0
555009	29	54	20	0	0	0	0	0	0	0
530833	0	3	2	0	0	1	0	0	0	0
272161	2	1	1	8	0	1	0	0	0	0
567669	389	3000	1137	6	6	2	3	1	3	1
274801	0	6	1	0	0	22	17	0	0	1
58301	5485	253	1958	2259	287	196	6	17	7	18
471141	9196	306	782	91809	1150	491	21	58	23	52
140877	6	18	14	0	0	0	0	0	0	0
338075	2	9	0	0	0	0	0	0	0	0
100937	3910	12143	572	18	14	12	3	8	3	1
130481	1	2	0	0	0	0	0	0	0	1
137387	6	22	15	0	0	0	0	0	0	0
369524	1	0	0	0	0	0	0	0	0	0
543841	0	2	1	0	0	0	0	0	0	0
565712	7	0	0	0	0	0	0	0	0	0
272208	438	582	63	1	0	1	1	0	0	1
183182	25	18	1	0	0	0	0	0	0	1
13401	11	3	7	0	0	0	0	0	0	0
202911	0	0	1	0	0	0	0	0	0	0
13463	14	24	1	0	0	0	0	0	0	0
13467	1	2	0	0	0	0	0	0	0	0
470178	94	428	202	1	0	0	0	0	0	0
376876	13	37	5	0	0	0	0	0	0	0
357438	3	10	1	0	0	0	0	0	0	0
305123	592	1	0	0	0	0	0	0	0	0
470207	0	427	2	0	0	0	0	1	0	0
470219	8739	8730	1752	15	15	14	2	4	7	1
13428	5	6	1	0	0	0	0	0	0	0
58295	6250	185	814	24	4	5	1	3	0	0
470200	192	149	2	0	0	0	0	1	0	0
470188	2301	3004	113	5	2	4	2	0	1	0
69384	2	10	0	0	0	0	0	0	0	0
470213	8193	792	6310	45	25	14	7	3	9	4
471198	1	2	0	0	0	0	0	0	0	0
137454	3	0	0	0	0	0	0	0	0	0
24259	1	0	0	0	0	0	0	0	0	0
69669	39	7	15	0	0	0	6	0	0	0
13581	155	140	22	0	0	0	56	0	1	1
13568	0	0	7	0	0	0	0	0	0	0
108829	0	0	0	0	0	0	0	0	0	0
349708	0	8	8	0	0	0	0	0	1	1
84268	3	0	0	0	0	0	0	0	0	0
185640	0	0	0	0	0	0	0	0	0	0
276278	0	27	0	0	0	0	0	0	0	0
188084	0	2	0	0	0	0	0	0	0	0
84442	0	0	0	0	0	0	0	0	0	0
526776	0	2	1	0	0	0	0	1	2	2
142287	1	86	12	0	0	0	0	1	0	1
104445	0	4	0	0	0	0	0	0	0	0
558953	59	1457	26	7	0	5	0	1	1	1
137558	0	1	0	0	0	0	0	0	0	0
13522	11	15	0	0	0	0	0	0	0	0
100442	0	0	0	0	0	0	0	0	0	0
20974	6	997	2	2	0	0	0	0	0	0
13140	1	4	0	0	0	0	0	0	1	1
320457	6	6	0	0	0	0	3	1	1	0
556866	0	0	0	0	0	2	0	1	1	0
13121	1	2	0	0	1	0	0	1	3	0
92964	0	0	0	0	0	0	0	5	5	7
102201	1	10	0	0	0	0	0	2	0	0
143735	0	0	0	0	0	0	0	0	0	0
12620	0	0	8	0	0	0	0	0	0	0
86784	64	3	450	4	1	2	0	0	1	0
72858	6	3	10	0	5	58	0	0	1	1
143171	0	0	0	0	1	6	0	0	0	0
469868	2	4	12	3	4	3	0	40	4	0
326977	14	63	6	84	28	23	14	1022	12	18
469873	2	6	1	11	5	3	0	104	4	3
12622	0	0	0	0	0	0	0	1	1	0
470460	4	1	1	0	0	0	0	0	0	0
131391	0	0	0	0	0	0	0	1	0	0
471185	2	2	0	0	0	0	0	0	0	0
12650	0	0	0	0	0	0	0	0	0	0
559527	0	0	0	0	0	0	0	0	0	0
591285	0	0	0	0	0	0	0	1	0	0
469852	0	0	0	1	0	0	0	3	1	0
108434	18	10	432	4	7	1	1	1	1	0
3838	194	19	255	47	8	1	1	1	1	0
24210	0	0	2	0	0	0	0	0	0	0
3859	0	0	0	0	1	0	0	0	0	0
38741	281	1	344	51	20	6	2	2	1	0
78032	0	0	0	0	0	0	0	0	0	0
77775	0	0	0	0	0	0	0	0	0	0
146387	0	0	0	0	0	0	0	0	0	0
4099	0	0	0	0	0	0	0	0	0	0
141219	0	0	0	0	0	0	3	4	2	12
90465	0	0	0	0	0	0	1	3	0	0
101217	0	0	0	0	0	0	0	0	1	0
89329	0	0	0	0	0	0	0	0	0	1
4386	0	0	0	0	0	0	0	0	1	6
111897	0	0	0	0	0	0	0	0	0	0
192132	5	0	8	1	2	2	2	3	0	0
10517	0	0	0	0	0	0	0	0	0	0
10526	0	0	0	0	0	0	0	0	0	0
33199	0	0	0	0	0	0	0	0	0	0
235762	0	0	0	0	0	0	0	0	1	0
567650	0	0	0	0	0	0	0	2	0	0
219355	0	0	0	0	0	0	0	0	0	1
102412	0	0	0	0	0	0	0	6	15	13
338150	0	0	0	0	0	0	0	0	0	7
384155	0	0	0	0	0	0	0	0	0	3
92508	0	0	0	0	0	0	0	0	0	0
87605	0	0	0	0	0	0	0	0	0	0
34507	0	0	0	0	0	0	0	0	0	0
536531	0	0	0	0	0	0	0	3	5	0
341019	0	0	0	0	0	0	0	1	3	2
10455	0	0	0	0	0	0	0	0	2	1
19551	0	17	0	0	0	0	0	4	23	2
102653	0	0	0	0	0	0	0	0	0	0
245878	0	0	0	0	0	1	1	73	198	95
23777	7	0	1	0	0	0	0	0	0	0
11293	0	0	3	0	0	0	0	0	0	0
529857	1832	23	5	67	2	0	0	0	0	0
34513	0	0	0	0	0	0	0	0	0	0
470429	0	0	0	1	0	0	0	0	0	0
99826	5	0	0	0	0	0	2	5	0	0
103527	0	0	0	0	1	0	0	0	0	0
536325	0	0	0	0	0	0	0	0	0	0
76821	0	0	0	0	0	0	0	0	0	0
584755	0	1	0	0	0	0	0	0	0	0
74862	0	0	0	0	0	0	0	0	0	0
15711	0	0	0	0	0	0	0	0	0	0
470139	0	0	3	3	1	3	3	57	7	5
15716	0	0	0	1	0	0	0	0	0	0
109807	0	0	0	0	0	0	0	0	0	0
381629	3	0	0	0	0	0	0	0	0	0
470369	3	3	0	8	3	3	3	65	3	2
194446	5	2	0	0	0	0	0	0	0	0
295024	19	5	0	0	0	0	0	0	0	0
362383	0	0	0	0	0	0	0	7	0	0
572915	0	0	0	1	0	0	0	16	1	0
270972	0	0	0	0	0	0	0	0	0	0
532556	307	6	0	0	0	1	0	0	0	0
19191	386	42	29	548	15	0	1	0	0	0
470522	1	1	3	2	3	0	0	18	1	0
99344	0	0	0	0	0	0	0	1	0	0
185981	0	0	0	0	0	0	0	7	8	7
279660	0	0	0	0	0	0	0	8	1	0
143213	0	0	0	0	0	0	0	3	0	6
3232	0	0	0	0	0	0	0	0	0	0
268560	0	0	0	0	0	0	0	0	0	0
471225	0	0	0	4	59	6740	1	0	1	3
161302	0	0	0	0	0	0	0	0	0	0
136145	0	0	0	0	0	0	0	7	5	0
3262	0	0	0	0	0	0	0	2	0	1
549188	0	0	0	0	0	0	0	1	1	1
587919	0	0	0	0	0	0	1	0	0	0
138867	0	0	0	0	0	28	0	0	0	1
45521	0	0	0	0	0	8	0	0	0	0
247816	0	0	0	0	0	2	0	0	3	0
107995	0	0	1	0	1	37	15	6	32	29
3098	0	0	0	0	0	4	1	0	0	1
245604	0	0	0	0	1	37	0	0	1	0
178178	0	0	0	0	0	1	1	1	5	13
190926	0	0	1	13	117	9916	42	168	403	144
140593	0	1	1	4	35	5449	44	4	3	3
568548	0	0	0	0	0	0	0	2	1	2
142290	0	0	0	1	0	0	0	0	0	0
175886	1	5	1	0	0	0	0	0	0	0
11239	2	0	1	0	0	0	0	0	0	0
11247	12	0	4	9	0	0	0	0	1	0
241170	437	10	356	3465	74	13	1	1	2	2
484430	2404	42	2687	239	43	1	1	3	5	0
246715	1	0	0	0	0	0	0	0	0	0
386273	174	9	0	2	3	0	0	0	0	0
56203	3	0	0	44	0	0	0	0	0	0
162077	1262	107	203	27946	608	122	8	28	9	11
11164	0	0	0	0	0	0	1	0	0	0
237188	4	0	0	0	0	0	0	0	0	0
277566	0	0	0	0	0	0	0	0	0	0
163978	1	1	0	0	0	0	0	1	0	1
214563	0	93	9	1	0	0	0	0	0	0
6678	4	10145	690	24	15	8	2	3	5	3
63992	0	9	0	0	0	0	0	0	0	0
55005	0	1	0	0	0	0	0	0	0	0
75333	0	0	0	0	0	0	0	0	0	0
111824	0	161	1	2	0	2	3	10	17	16
591509	0	49	0	0	0	1	0	1	5	1
144381	0	30	0	2	0	0	9	8	5	14
238272	0	0	0	1	0	0	154	0	0	0
367189	6	5	0	2	1	5	211	2	2	3
172207	0	0	0	0	0	0	1	0	6	2
264640	0	4	0	0	0	0	0	0	0	0
6825	0	0	0	0	0	1	0	0	0	0
149152	0	0	0	0	0	1	0	0	0	0
338543	0	1	0	0	0	0	0	0	0	0
550256	0	0	0	0	0	0	2	0	0	0
519627	0	0	0	0	0	0	2	156	302	313
470243	150	2	197	52	6	2	2	2	2	0
63985	4	0	2	105	2	0	0	0	0	0
470724	23	7	491	9	0	0	0	0	0	1
56599	162	21	112	19	3	1	1	0	0	0
21796	0	0	0	1	0	0	0	0	1	0
72999	19	10	3	11	1	0	0	0	0	0
107195	1	0	0	0	0	0	0	0	1	0
22981	4	1	0	110	1	2	0	1	1	0
520724	2	1	0	0	0	0	6	2	5	4
156646	0	0	0	1	2	1	1	1	2	0
29792	0	0	0	1	0	0	0	0	3	3
141903	9	16	13	0	4	18	1	5	9	20
156758	0	3	0	0	0	46	2	0	1	1
263842	0	0	0	0	0	1	1	6	4	5
6697	0	0	0	0	0	2	0	1	1	4
203562	0	0	0	0	0	0	6	3	2	0
242252	6	1	0	1	0	2	5	16	21	15
143868	0	0	0	0	0	0	0	0	2	2
6725	0	0	1	1	0	2	7	4	6	9
41872	0	0	0	0	0	0	0	1	0	0
230074	1	0	0	1	0	5	8	25	212	131
42580	10	1	0	0	0	2	2	93	346	203
6721	0	0	0	0	0	0	1	0	6	8
134476	10	0	5	1	0	8	0	2	4	2
114676	0	0	0	0	0	0	0	0	2	1
6717	0	0	0	0	0	0	1	0	2	4
6713	0	3	0	0	0	0	0	18	32	52
26639	0	0	0	0	0	0	0	0	2	0
138944	0	2	0	0	0	0	0	9	11	21
235428	0	0	0	0	0	16	111	4	1	3
7344	0	0	0	0	0	0	0	0	0	0
230108	0	12	0	0	0	0	1	1	0	0
259460	2	5	1	0	0	0	1	1	1	0
60344	87	176	33	1	0	1	1	3	2	1
110675	89	352	36	0	0	1	66	2	2	2
236550	9	61	11	1	1	2	20	1	2	3
235543	3	17	0	0	0	0	0	0	0	0
510182	0	1	0	1	0	0	2	1	0	0
162184	0	0	0	0	0	9	6	0	4	3
365805	0	0	0	0	0	1	0	0	0	0
7316	38	0	0	0	0	0	19	0	0	1
88301	7	16	2	0	0	0	7	0	1	0
571521	20	87	2	1	0	0	23	0	1	1
102382	291	790	179	1	5	5	273	5	11	7
590309	0	0	0	0	0	0	0	0	0	0
551576	0	3	0	0	0	0	0	0	1	0
99681	0	0	0	0	0	0	0	0	0	0
155597	27	71	11	0	0	0	16	0	4	1
327622	3	5	0	0	0	2	1	0	0	0
244518	0	0	0	0	0	0	0	0	0	0
322045	7	16	1	1	0	0	2	0	1	1
217942	0	0	0	0	0	0	0	0	0	0
313175	344	771	92	2	0	16	68	2	3	4
559256	0	2	0	0	0	0	0	0	0	0
323686	0	0	1	4	32	3169	34	2	3	8
570301	0	0	0	0	0	2	15	0	1	0
7396	2	0	0	0	1	11	1	5	14	14
293752	0	0	0	0	0	2	0	2	2	0
6974	0	0	0	0	0	0	1	0	1	0
593931	0	0	0	0	0	0	4	0	0	1
592118	535	1790	94	11	3	146	75	59	230	322
358779	0	0	0	0	0	0	0	0	1	0
391129	3	2	2	0	0	1	1	0	0	0
6936	0	13	51	0	0	39	28	33	38	24
255954	0	0	0	0	0	0	1	0	0	0
105081	1	1	0	0	0	17	0	3	6	6
271234	3	0	14	0	0	10	7	0	2	3
270928	0	0	0	0	0	0	0	0	1	1
166388	7	0	15	0	0	0	0	0	3	2
72406	0	7	0	1	4	104	82	58	139	124
368509	3	7	0	4	5	234	1551	54	86	63
153263	0	0	0	0	0	19	8	2	2	1
156790	75	97	36	0	0	50	50	1	1	1
584580	1	4	2	3	44	3659	49	43	39	33
90602	0	34	0	0	1	56	3	4	23	14
37911	0	0	0	1	0	3	1	11	68	34
110215	0	0	0	0	0	21	1	13	263	105
592171	0	0	1	0	0	1	0	5	29	15
7173	1	19	0	2	5	373	115	66	93	115
258495	0	0	0	0	0	0	0	0	0	0
140825	0	0	0	0	0	0	0	0	1	3
114783	0	0	0	0	0	8	18	0	6	5
200741	19	137	10	21	13	98	961	8803	12180	9967
100284	0	1	0	0	0	0	0	4	5	9
469903	533	13	177	13	0	0	0	0	0	0
65940	781	3	214	13	0	3	0	0	0	0
350331	0	0	0	1	0	0	0	1	0	0
573802	0	0	0	0	0	0	0	0	0	0
8823	0	0	0	0	0	0	1	0	0	0
569335	0	2	0	0	0	0	0	0	1	0
198608	0	0	0	0	0	0	0	1	0	0
311934	0	0	0	0	0	0	0	0	0	0
8872	0	0	0	0	0	0	0	0	0	0
81059	0	0	0	0	0	0	0	0	0	0
160306	0	0	0	0	0	0	0	0	0	0
274227	0	0	1	0	0	0	0	0	0	0
140774	4	0	2	1	0	0	0	0	0	1
153557	0	0	0	0	0	0	0	0	0	0
140388	0	0	0	0	0	0	0	0	0	0
193662	0	1	0	1	0	0	0	1	0	0
160023	0	0	0	1	1	6	3	70	653	634
259571	0	0	0	0	0	0	0	0	0	0
246806	0	0	0	0	0	0	0	1	4	6
392867	0	0	0	1	0	0	0	3	0	0
8849	0	0	0	0	0	0	0	0	0	0
46271	0	0	0	1	0	0	0	1	0	1
255639	0	0	0	0	0	0	0	0	0	0
230360	0	0	0	0	0	0	0	0	0	0
82812	0	0	0	0	0	0	0	0	0	0
236190	0	0	0	0	0	0	0	0	0	0
141151	0	1	0	0	0	0	0	0	0	0
93965	0	0	0	0	0	0	0	1	0	0
277789	0	0	0	0	0	0	0	0	0	0
